"topic";"keywords";"freq"
"Topic 1";"tree, speci, stand, root, litter, age, aboveground, nativ, mix, plot";6.6364
"Topic 2";"polici, market, protocol, kyoto, intern, framework, public, social, adapt, articl";5.3699
"Topic 3";"ha1, n2o, yr1, pastur, flux, ch4, year1, plot, respir, methan";4.9516
"Topic 4";"farm, biodivers, food, agroforestri, program, farmer, irrig, australia, reforest, grain";3.6293
"Topic 5";"afforest, plantat, stock, pine, layer, landus, abandon, woodland, miner, fraction";5.2432
"Topic 6";"energi, technolog, captur, ccs, power, cost, electr, industri, renew, combust";6.9782
"Topic 7";"captur, air, adsorpt, materi, adsorb, sorbent, amin, degre, pressur, ambient";5.7982
"Topic 8";"ghg, bioenergi, biofuel, energi, life, black, feedstock, oil, wast, cultiv";3.4431
"Topic 9";"servic, restor, mangrov, coastal, habitat, stock, zone, sediment, map, provis";4.3946
"Topic 10";"degre, stabil, char, charcoal, decomposit, fire, burn, materi, aromat, c13";4.262
"Topic 11";"optim, terrestri, radiat, forc, centuri, techniqu, geoengin, earth, coupl, precipit";4.2758
"Topic 12";"forest, reforest, china, tropic, deforest, afforest, program, secondari, inventori, timber";7.1089
"Topic 13";"harvest, rotat, wood, simul, ton, landscap, woodi, million, declin, extens";3.3759
"Topic 14";"treatment, residu, miner, rice, straw, tillag, manur, wheat, season, maiz";4.3379
"Topic 15";"biochar, amend, pyrolysi, feedstock, incub, treatment, wast, compost, materi, contamin";8.6946
"Topic 16";"ocean, iron, weather, releas, day, deep, acid, enrich, southern, uptak";4.245
"Topic 17";"communiti, microbi, dri, abund, group, divers, composit, green, respir, element";4.1934
"Topic 18";"scenario, project, cost, price, forestri, target, afforest, 2050, return, sector";5.605
"Topic 19";"soc, grassland, stock, cropland, china, graze, topsoil, fraction, slope, layer";7.457
